Catid,Root category,Sub category,Sub-sub category,Sub-sub-sub category,Sub-sub-sub-sub category,Sub-sub-sub-sub-sub category
1980,Baby & kind,,,,,
6516,,Activiteitsbenodigdheden voor baby's,,,,
5967,,,Accessoires voor babymobiels,,,
8192,,,Accessoires voor babyschommelstoelen & wipstoelen,,,
6856,,,Attributen voor babymijlpalen,,,
2096,,,Babyjumpers,,,
2077,,,Babyloopstoelen,,,
2084,,,Babymobilen,,,
8611,,,Babyschommelstoelen,,,
2409,,,Babyspeelrekken en -matten,,,
2078,,,Babyswings,,,
3660,,,Box accessoires,,,
4367,,,Hangend babyspeelgoed,,,
3847,,,Kindermeetlatten,,,
2075,,,Playpennen,,,
2530,,,Rammelaars,,,
2094,,,Wipstoeltjes,,,
1697,,Baby cadeausets,,,,
1988,,Babybadjes & -potjes,,,,
9206,,,Accessoires voor neuszuigers voor baby's,,,
7123,,,Baby-huidverzorgingsproducten,,,
5145,,,,Babybubbelbaden,,
5146,,,,Babyzeep,,
5084,,,,Badsets en huidverzorgingssets voor baby's,,
7127,,,,Bodylotions en -melk voor baby's,,
7129,,,,Bodyoliën voor babies,,
7134,,,,Douchegels voor baby's,,
7130,,,,Massageoliën voor baby's,,
3907,,,Babyhanddoeken,,,
4350,,,Babynagelschaartjes & -knippers,,,
7124,,,Babyverzorgingsproducten,,,
2303,,,,Babyshampoos,,
7131,,,,Lotions voor babyhaar,,
5038,,,Gezondheids- & verzorgingssets voor baby,,,
7126,,,Hulpmiddelen & accessoires voor het baden van baby's.,,,
4130,,,,Accessoires voor babybadje,,
2497,,,,Baby badonderstellen,,
2089,,,,Babybadjes,,
2090,,,,Babybadzitjes,,
7133,,,,Babyborstels & -kammen,,
2298,,,,Badspeelgoed en stickers,,
2101,,,,Badsponsjes voor baby's,,
1944,,,,Badthermometers,,
2087,,,Kinderpotjes,,,
3661,,,Neusaspirators voor baby's,,,
2185,,,Toilettrainers,,,
4578,,,Veranderende tafelkussens & -kleden,,,
1981,,Reisproducten voor baby's,,,,
4716,,,Autostoelverhogers,,,
9193,,,Baby anti-verlatings apparaten,,,
2786,,,Baby autostoelaccessoires,,,
1982,,,Baby-autozitjes,,,
5142,,,Babydraagzakaccessoires,,,
1984,,,Babydragers,,,
3663,,,Babyreisbedjes,,,
7403,,,Kinderwagenplankjes,,,
1983,,,Kinderwagens,,,
4364,,,Kinderwagenveiligheid,,,
2083,,,Kinderzitjeonderstellen,,,
2188,,,Reiswiegen,,,
6514,,,Stoelbekledingen & trappelzakken voor baby's,,,
2291,,,Voetenzakken voor kinderwagens,,,
6857,,,Wielen voor kinderwagens,,,
9256,,,Zitjes voor kinderwagens,,,
2103,,Slaapartikelen voor baby's,,,,
2398,,,Baby beddengoed sets,,,
2104,,,Baby-cocoons,,,
4976,,,Babydekbedovertrekken,,,
3833,,,Babydekens,,,
4770,,,Babyknuffeldoekjes,,,
4608,,,Babykussens,,,
3440,,,Babymatrasbeschermers,,,
3439,,,Babymatrassen,,,
2300,,,Babynachtlampen,,,
2187,,,Babyslaaprollen,,,
4607,,,Hoofdbeschermers & bekleding voor wieg,,,
4609,,,Ledikantlakens,,,
5167,,,Slaapzakken,,,
2399,,,Wiegkussens,,,
5056,,,Wikkeldoeken,,,
1987,,Veiligheidsproducten voor baby's,,,,
4374,,,Accessoires voor babyfoon met video,,,
7302,,,Accessoires voor babyfoons,,,
4540,,,Accessoires voor babytraphekje,,,
2416,,,Afstandalarmen voor kinderen,,,
2307,,,Baby-videomonitoren,,,
1403,,,Babyfoons,,,
3444,,,Babyhoekbeschermers,,,
3676,,,Babyhoofdsteunen,,,
4970,,,Babyklamboes,,,
3671,,,Babyschaduwtenten,,,
4126,,,Babyveiligheidshelmen,,,
4361,,,Babyzwembanden,,,
4360,,,Babyzwembandensets,,,
5761,,,Dopplers,,,
2105,,,Hekjes voor kinderbedden,,,
2100,,,Kindersloten,,,
5220,,,Sets voor kindveilig maken,,,
2082,,,Traphekjes,,,
6518,,,Veiligheidstuigjes & leibanden voor baby's,,,
6853,,,Vingerbeschermers voor baby's,,,
1986,,"Voeden, verschonen & verzorgen",,,,
8601,,,Accessoires voor borstkolven,,,
4670,,,Accessoires voor luieremmer,,,
5762,,,Accessoires voor zuigflessen,,,
4427,,,Babycrèmes,,,
2099,,,Babydoekjes,,,
4408,,,Babydoekjes dispensers,,,
2609,,,Babyhuidverzorging,,,
2305,,,Babyoliën,,,
2302,,,Babypoeders,,,
5012,,,Babyspeenhoezen,,,
3921,,,Babyspeenhouders,,,
4688,,,Babyvoedingbereiders,,,
4385,,,Babyvoedingsbakjes,,,
2299,,,Babyweegschalen,,,
6874,,,Beautycases voor baby's,,,
4722,,,Boerdoekjes,,,
1695,,,Borstpompen,,,
2600,,,Borstvoedingaccessoires,,,
2098,,,Borstvoedingskussens,,,
5464,,,Drinkaccessoires voor peuters,,,
1655,,,Flessensterilisatoren,,,
2092,,,Flesspenen,,,
1976,,,Flesverwarmers,,,
8902,,,"Fopspenen, bijtringen & pijnverlichtingsmiddelen bij doorkomende tandje",,,
1693,,,,Bijtringen,,
1692,,,,Spenen,,
2086,,,Herbruikbare luiers,,,
2301,,,Luierafvalbakken,,,
6087,,,Luierbroekjes,,,
5039,,,Luierinlegdoekjes,,,
7145,,,Luierpinnen & sluitingen,,,
2079,,,Luiertassen,,,
4383,,,Melkpoederdispensers,,,
2615,,,Peuterbestek,,,
5757,,,Peuterservies,,,
1698,,,Peutervoeding,,,
3087,,,Peutervoedingaccessoires,,,
3085,,,Peutervoedingsets,,,
4382,,,Sabbelzakjes,,,
8422,,,Serviessets voor mensen met alzheimer,,,
3086,,,Sippy bekers,,,
2088,,,Slabbetjes,,,
5751,,,Slopen voor borstvoedingskussens,,,
2618,,,Startsets babyvoeding,,,
2617,,,Sterilisatieaccessoires,,,
4347,,,Verschoonkussenhoezen,,,
2102,,,Verschoonkussens,,,
5991,,,Wegwerpluiers,,,
4133,,,Zoogkompressen,,,
1425,,,Zuigflessen,,,
3654,,,Zwangerschapsbanden,,,
5136,,,Zwangerschapskussens,,,
7393,,,Zwemluiers,,,
4776,Bouw & installatie,,,,,
6649,,(Grond)verven & lakken,,,,
1483,,,Acrielverf,,,
5015,,,Binnenlakken,,,
4780,,,Binnenverf,,,
4997,,,Grondverf,,,
4852,,,Hardhoutvernieuwers,,,
6888,,,Houtafwerkingsoliën,,,
5425,,,Houtafwerkingswassen,,,
5752,,,Houtbehandeling,,,
7293,,,Isoleerverven & afdichters voor oppervlakken,,,
9235,,,Lakken,,,
5306,,,Producten voor oppervlaktevoorbereiding,,,
5317,,,,Doekjes voor oppervlaktevoorbereiding,,
5307,,,,Reinigingsmiddelen & ontvetters voor oppervlakvoorbereiding,,
5171,,,,Verfverdunners & -verwijderaars,,
6883,,,,,Verf- & lakverdunners,
5172,,,,,Verf- & lakverwijderaars,
5337,,,,Verwijderaars voor afdichtingsmiddel,,
6650,,,Specialistische verven,,,
1484,,,Verf op waterbasis,,,
7507,,,Verfadditieven,,,
4837,,,,Verfkleuren,,
6872,,,,Verftoevoegingen,,
6805,,,Verfapplicators & schilderbenodigdheden,,,
7591,,,,Airbrushes,,
8378,,,,Kwast-/penseelkoppen,,
1162,,,,Penselen voor algemeen gebruik,,
7867,,,,Verfemmerroosters,,
6878,,,,Verfmengbekers,,
6980,,,,Verfrolbakken,,
4785,,,,Verfrollen,,
6539,,,,Verfrollergrepen,,
4783,,,,Verfrollers,,
6806,,,,Verfzeven,,
5426,,,Verwijderaars voor afwerkingswas,,,
5099,,"Beton, cement & gips",,,,
6658,,,Cement,,,
5179,,,Gipsen,,,
6776,,,Ophoogzand,,,
6779,,,Opritten dichtingsmaterialen & reparatie,,,
5410,,,Tegellijm & voegsel,,,
5100,,,mortels,,,
5094,,Dakbedekkingen,,,,
5289,,,Afdichtingsprofielen,,,
